id	name	formula	rt	smiles.std	status
0329_00769	PETROSELINATE	C18H34O2	5.754		'PUGREST.BadRequest: error: '
0329_00770	ELAIDATE	C18H34O2	5.754		'PUGREST.BadRequest: error: '
0329_00771	OLEATE	C18H34O2	5.754		'PUGREST.BadRequest: error: '
0329_00772	STEARATE	C18H36O2	5.847		'PUGREST.BadRequest: error: '
0329_00774	RETINOATE	C20H28O2	4.352		'PUGREST.BadRequest: error: '
0329_00776	EICOSAPENTAENOATE	C20H30O2	5.519		'PUGREST.BadRequest: error: '
0329_00777	ARACHIDATE	C20H40O2	6.037		'PUGREST.BadRequest: error: '
0329_00778	CORTISONE	C21H28O5	3.908		'PUGREST.BadRequest: error: '
0329_00779	CORTEXOLONE	C21H30O4	4.352		'PUGREST.BadRequest: error: '
0329_00780	CORTICOSTERONE	C21H30O4	4.352		'PUGREST.BadRequest: error: '
0329_00783	ERUCATE	C22H42O2	6.13		'PUGREST.BadRequest: error: '
0329_00785	TRICOSANOATE	C23H46O2	6.293		'PUGREST.BadRequest: error: '
0329_00787	LITHOCHOLATE	C24H40O3	5.241		'PUGREST.BadRequest: error: '
0329_00792	CHOLATE	C24H40O5	4.193		'PUGREST.BadRequest: error: '
0329_00793	NERVONATE	C24H46O2	6.268		'PUGREST.BadRequest: error: '
0329_00794	LITHOCHOLYLTAURINE	C26H45NO5S	4.144		'PUGREST.BadRequest: error: '
0329_00812	CHOLESTERYL OLEATE	C45H78O2	3.815		'PUGREST.BadRequest: error: '
0329_00826	PHENYLPYRUVATE	C9H8O3	3.065		'PUGREST.BadRequest: error: '
0329_00827	2-Hydroxyisocaproic acid	C6H12O3	2.055		'PUGREST.BadRequest: error: '
0329_00830	2-Hydroxyphenylacetic acid	C8H8O3	2.83		'PUGREST.BadRequest: error: '
0329_00831	N-(2-Methylbutyryl)glycine	C7H13NO3	2.081		'PUGREST.BadRequest: error: '
0329_00832	Disodium (2RS)-2-hydroxyadipate	C6H10O5	0.818		'PUGREST.BadRequest: error: '
0329_00833	3-(4-Hydroxyphenyl)propionic acid	C9H10O3	2.924		'PUGREST.BadRequest: error: '
0329_00835	2-Isopropylmalic acid	C7H12O5	2.055		'PUGREST.BadRequest: error: '
0329_00836	Indole-3-butyric acid	C12H13NO2	3.973		'PUGREST.BadRequest: error: '
0329_00837	Trisodium 2-methylcitrate, racemic mixture of diastereomers	C7H10O7	0.818		'PUGREST.BadRequest: error: '
