id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0401_00446			4.02	440864	CC[C@@H](C(=O)O)O								
0401_00447			4.02	11671	CC(C)(C(=O)O)O	CC(C)(C(=O)O)O							
0401_00448			4.027	1175	C12=C(NC(=O)N1)NC(=O)NC2=O	C12=C(NC(=O)N1)NC(=O)NC2=O							
0401_00449			4.036	10685	C1=CC=C2C(=C1)C(=CN2)CCO	C1=CC=C2C(=C1)C(=CN2)CCO							
0401_00450			4.058	5281792	C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O								
0401_00451			4.07	232990	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O							
0401_00452			4.101	4946	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O							
0401_00453			4.114	7761	CCOC(=O)CC(=O)OCC	CCOC(=O)CC(=O)OCC							
0401_00454			4.131	5281672	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O							
0401_00455			4.139	4947	CCCOC(=O)C1=CC(=C(C(=C1)O)O)O								
0401_00456			4.162	4594	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC								
0401_00457			4.177	3100	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2								
0401_00458			4.197	19844	COC1=C(C=CC(=C1)C(=O)OC)O	COC1=C(C=CC(=C1)C(=O)OC)O							
0401_00459			4.227	2337	CCOC(=O)C1=CC=C(C=C1)N	CCOC(=O)C1=CC=C(C=C1)N							
0401_00460			4.227	4054	CC12CC3CC(C1)(CC(C3)(C2)N)C	CC12CC3CC(C1)(CC(C3)(C2)N)C							
0401_00461			4.23	150923	CC1C2=CC=CC=C2NC1=O	CC1C2=CC=CC=C2NC1=O							
0401_00462			4.245	65028	CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC								
0401_00463			4.245	493591	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O								
0401_00464			4.256	135400189	CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C								
0401_00465			4.259	667468	CN(C)CC/C=C\1/C2=CC=CC=C2COC3=CC=CC=C31								
0401_00466			4.275	75787	COC1=CC(=C(C=C1)O)C(=O)O	COC1=CC(=C(C=C1)O)C(=O)O							
0401_00467			4.29	5793	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O								
0401_00468			4.29	6036	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O								
0401_00469			4.29	79025	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O								
0401_00470			4.29	439312	C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O								
0401_00471			4.29	439507	C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)O)O)O)O								
0401_00472			4.334	39186	CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC								
0401_00473			4.338	5326566	CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3	CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3							
0401_00474			4.341	2724702	CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C								
0401_00475			4.35	69475	C1=CC=C(C=C1)C#CC(=O)O	C1=CC=C(C=C1)C#CC(=O)O							
