hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
722	Waters, XBridge Protein BEH C4	L26	C4	0.546	-0.0730	-0.210	0.0430	0.00700	0.120	0.85					
406	Waters, XBridge Shield RP18	L1	EP	0.830	-0.0200	-0.370	0.0900	-0.120	-0.0500	3.7					
543	Waters, XSelect CSH Fluoro-Phenyl	L43	F	0.498	-0.138	-0.0520	0.0550	-0.321	0.793	1.413					
544	Waters, XSelect CSH Phenyl-Hexyl	L11	Phenyl	0.708	-0.0590	-0.435	0.129	-0.0680	0.223	2.865					
562	Waters, XSelect HSS CN	L10	CN	0.479	-0.116	-0.224	0.0430	0.0820	1.18	1.76					
580	Waters, XSelect HSS PFP	L43	F	0.592	-0.164	0.146	-0.0200	0.740	1.77	3.35					
303	Waters, XTerra MS C18	L1	C18	0.980	0.0100	-0.140	-0.0100	0.130	0.0500	6.3					
304	Waters, XTerra MS C8	L7	C8	0.800	0	-0.290	0	0.0500	0	3.7					
316	Waters, XTerra Phenyl	L11	Phenyl	0.680	-0.0700	-0.360	0	0.110	0.0200	2.6					
314	Waters, XTerra RP18	L1	EP	0.750	-0.0400	-0.480	0.0900	-0.170	-0.170	4.3					
315	Waters, XTerra RP8	L7	EP	0.650	-0.0400	-0.600	0.0900	-0.180	-0.190	3.1					
567	Welch Material, Xtimate C8	L7	C8	0.855	-0.0140	-0.185	0.00800	0.0130	0.173	6.26					
570	Welch Materials, Topsil C18	L1	C18	0.972	-0.0110	-0.0190	0.00900	0.124	0.312	7.37					
569	Welch Materials, Ultimate AQ-C18	L1	C18	0.868	-0.0330	-0.0550	0.0290	0.0580	0.363	6.51					
559	Welch Materials, Ultimate XB-C18	L1	C18	1.01	0.0110	-0.0460	0.00100	0.118	0.133	9.39					
560	Welch Materials, Ultimate XB-C8	L7	C8	0.835	0.00100	-0.0740	0.0280	0.0690	0.281	5.55					
561	Welch Materials, Ultimate XB-Phenyl	L11	Phenyl	0.651	-0.108	-0.250	0.0320	0.150	0.476	3.45					
566	Welch Materials, Ultisil AQ-C18	L1	C18	0.872	-0.0370	-0.0720	0.0310	0.0540	0.323	6.61					
731	Welch Materials, Ultisil LP-C18	L1	C18	0.913	-0.0440	0.160	0.0260	0.150	0.770	7.4					heißen in China Ultimate, sonst Ultisil
737	Welch Materials, Ultisil LP-C18	L1	C18	0.916	-0.0420	0.150	0.0260	0.140	0.760	7.6					
735	Welch Materials, Ultisil PFP	L11	F	0.636	-0.100	-0.170	-0.0230	0.450	1.10	3.4					heißen in China Ultimate, sonst Ultisil
732	Welch Materials, Ultisil Plus C18	L1	C18	0.979	-0.00300	-0.120	0.0150	0.160	0.170	6.3					heißen in China Ultimate, sonst Ultisil
734	Welch Materials, Ultisil Polar-RP	L1	EP	0.773	0.0260	-0.430	0.190	-0.270	0.100	6.4					heißen in China Ultimate, sonst Ultisil
738	Welch Materials, Ultisil Polar-RP	L1	EP	0.773	0.0280	-0.440	0.190	-0.250	0.0370	6.4					
