name_new	name_old	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P	particle size [µm]	pore size [A]	name	hplccolumns_number	Column Name
Thermo Scientific Fluophase PFP			PFP	1.6	1.23	2.5	0.63	0.7	0.3	5	100	Fluophase PFP		Fluophase PFP
Thermo Scientific Fluophase RP			Fluoroalkyl	0.98	1.21	0.62	0.73	2.12	0.6	5	100	Fluophase RP		Fluophase RP
ES Industries FluoroSep-RP Octyl			Fluoroalkyl	1.44	1.23	0.63	0.75	4.12	0.52	5	60	FluoroSep RP Octyl		FluoroSep RP Octyl
ES Industries FluoroSep-RP Phenyl HS			PFP	3.31	1.29	2.72	0.65	0.74	0.19	5	60	FluoroSep RP Phenyl HS		FluoroSep RP Phenyl HS
ES Industries FluoroSep-RP Propyl			Fluoroalkyl	0.16	1.15	1	1.15	1.47	0.39	5	300	FluoroSep RP Propyl		FluoroSep RP Propyl
Fortis Technologies Fortis C18	Fortis Technologies, Fortis C18		C18	6.72	1.49	1.26	0.48	0.26	0.07	1.7	110	Fortis C18 1.7 µm		Fortis C18 1.7 µm
Fortis Technologies Fortis C18	Fortis Technologies, Fortis C18		C18	7.04	1.48	1.27	0.5	0.33	0.08	5	110	Fortis C18 5 µm		Fortis C18 5 µm
Fortis Technologies Fortis Cyano			CN	0.21	1	1	0.67	2.09	0.2	2.1	110	Fortis cyano C18 2.1 µm		Fortis cyano C18 2.1 µm
Fortis Technologies Fortis Cyano			CN	0.17	1	1	0.69	1.86	0.19	5	110	Fortis cyano C18 5 µm		Fortis cyano C18 5 µm
Fortis Technologies Fortis Diphenyl	Fortis Technologies, Fortis Diphenyl		Diphenyl	1.54	1.31	0.93	0.81	0.56	0.07	1.7	100	Fortis Diphenyl		Fortis Diphenyl
Fortis Technologies Fortis H2o	Fortis Technologies, Fortis H2o		Aqua	7.42	1.5	1.64	0.41	1.56	0.1	5	110	Fortis H2O		Fortis H2O
			Phenyl	1.22	1.27	0.87	0.88	0.46	0.14	5	110	Fortis Phenyl		Fortis Phenyl
Phenomenex Gemini C18	Phenomenex, Gemini C18		C18	4.87	1.46	1.21	0.44	0.29	0.08	5	110	Gemini C18		Gemini C18
Phenomenex Gemini NX-C18	Phenomenex, Gemini NX-C18		C18	4.87	1.46	1.11	0.34	0.3	0.09	5	110	Gemini NX C18		Gemini NX C18
			Phenyl	2.79	1.36	1.04	0.6	0.3	0.05	5	110	Gemini phenyl hexyl		Gemini phenyl hexyl
Grace Jones Genesis AQ			Aqua	6.07	1.49	1.26	0.53	0.42	0.11	5	120	Genesis AQ		Genesis AQ
Grace Jones Genesis C18			C18	6.25	1.5	1.41	0.44	0.29	0.1	5	120	Genesis C18		Genesis C18
			C8	2.09	1.33	1.01	0.55	0.6	0.12	5	120	Genesis C8		Genesis C8
Grace Jones Genesis CN			CN	0.22	1.16	1.9	0.6	1	0.18	5	120	Genesis CN		Genesis CN
Grace GraceSmart RP18 C18			C18	2.37	1.44	1.32	0.8	1.65	0.1	5	120	GraceSmart RP 18		GraceSmart RP 18
Dr. Maisch Gromsil 100 ODS-2 FE			C18	4.68	1.46	1.72	0.59	0.72	0.17	5	100	Grom-Sil 100 ODS-2FE		Grom-Sil 100 ODS-2FE
Dr. Maisch Gromsil 100 ODS-0 AB			C18	3.46	1.45	1.4	0.72	0.67	0.19	5	100	Grom-Sil ODS-0 AB		Grom-Sil ODS-0 AB
Dr. Maisch Gromsil 120 ODS-4 HE			C18	6.28	1.5	1.27	0.54	0.31	0.1	5	120	Grom-Sil ODS-4 HE		Grom-Sil ODS-4 HE
Dr. Maisch Gromsil 80 ODS-7 pH			C18	13.68	1.54	1.53	0.39	0.32	0.06	4	80	Grom-Sil ODS-7 pH		Grom-Sil ODS-7 pH
Advanced Materials Technology HALO C18			C18	6.01	1.51	1.38	0.42	0.3	0.1	2.7 spp	90	HALO C18		HALO C18
			C18	2.65	1.45	1.22	0.72	0.57	0.13	2.7 spp	160	HALO C18 Peptide (Ascentis Peptide)		HALO C18 Peptide (Ascentis Peptide)
Advanced Materials Technology HALO C8			C18	2.68	1.4	0.93	0.29	0.31	0.08	2.7 spp	90	Halo C8		Halo C8
Advanced Materials Technology HALO PFP			PFP	1.45	1.24	2.43	1.09	1.95	0.36	2.7 spp	90	Halo PFP		Halo PFP
Advanced Materials Technology HALO RP-Amide			PEG	3.42	1.42	1.75	0.25	0.65	0.06	2.7 spp	90	Halo RP amide		Halo RP amide
-			C18	0.37	1.43	2.52	1	4.13	0.15	5		Helix STS		Helix STS
Hichrom Hichrom C8			C8	2.22	1.35	1.01	0.38	0.49	0.12	3.5	150	Hichrom C8 3.5um		Hichrom C8 3.5um
Hichrom Hichrom RPB			C8/C18	4.56	1.4	1.21	0.36	0.18	0.11	5	110	Hichrom RPB		Hichrom RPB
KYA Technologies Corporation HiQ Sil C18HS-100			C18	6.02	1.46	1.45	0.67	0.88	0.12	5	120	HiQ Sil C18		HiQ Sil C18
Thermo Scientific Hypersil PREP HS C18			C18	7.66	1.53	1.4	0.42	1.01	0.25	5	100	Hypersil 100 HS C18		Hypersil 100 HS C18
Thermo Scientific Hypersil BDS C18			C18	4.5	1.47	1.49	0.39	0.19	0.17	5	130	Hypersil BDS C18		Hypersil BDS C18
Thermo Scientific Hypersil BDS Phenyl			Phenyl	0.52	1.24	1	0.85	0.56	0.25	5	130	Hypersil BDS phenyl		Hypersil BDS phenyl
			Alkyl/SCX	1.98	1.48	1.55	1.28	7.36	13.63	5	120	Hypersil Duet Cation		Hypersil Duet Cation
	Thermo Fisher, Hypersil Elite C18		C18	4.76	1.49	1.52	0.37	0.3	0.14	5	120	Hypersil Elite C18		Hypersil Elite C18
Thermo Scientific Hypersil GOLD	Thermo Fisher, Hypersil GOLD		C12	2.42	1.42	1.3	0.34	0.35	0.12	5	175	Hypersil GOLD		Hypersil GOLD
